1061109567	1061109567	0	1061109567	1061109567	1061109567	1061109567	1061109567	
1	1061109567	1061109567	1061109567	1	1061109567	1061109567	1061109567	
1061109567	1	1061109567	1	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	

1061109567	1061109567	3	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	

2	1061109567	0	1061109567	2	1061109567	2	1061109567	
1	2	1061109567	2	1	2	1061109567	1061109567	
1061109567	1	2	1	1061109567	1061109567	2	1061109567	
1061109567	2	1061109567	2	1061109567	2	1061109567	1061109567	
2	1061109567	2	1061109567	2	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	

1061109567	1061109567	3	1061109567	1061109567	1061109567	1061109567	1061109567	
4	1061109567	1061109567	1061109567	3	1061109567	1061109567	1061109567	
1061109567	3	1061109567	2	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	
1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	1061109567	

2	3	0	3	2	3	2	3	
1	2	3	2	1	2	3	1061109567	
1061109567	1	2	1	1061109567	3	2	3	
3	2	3	2	3	2	3	1061109567	
